JIMENEZ             L|01:160:127:01|4.70|4.56|4.00|4.59|4.41|4.11|3.89|3.58|4.46|4.23|5.00
LEE                 E|01:160:161:36|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:161:71|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
CARLSON             D|01:160:161:72|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:161:73|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
CARLSON             D|01:160:161:74|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
CARLSON             D|01:160:161:75|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.39
WAIDLICH            J|01:160:161:76|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:162:00|3.98|3.86|3.73|4.12|3.74|3.33|3.20|3.11|3.54|3.08|4.40
PORCJA              R|01:160:162:01|3.98|3.86|3.73|4.12|3.74|3.33|3.20|3.11|3.54|3.08
PORCJA              R|01:160:162:04|3.98|3.86|3.73|4.12|3.74|3.33|3.20|3.11|3.54|3.08
PORCJA              R|01:160:162:08|3.98|3.86|3.73|4.12|3.74|3.33|3.20|3.11|3.54|3.08|4.40
KRENOS              J|01:160:163:00|4.73|4.60|4.43|4.80|4.80|4.45|4.49|3.92|4.52|4.46
KRENOS              J|01:160:163:71|4.73|4.60|4.43|4.80|4.80|4.45|4.49|3.92|4.52|4.46
KRENOS              J|01:160:163:72|4.73|4.60|4.43|4.80|4.80|4.45|4.49|3.92|4.52|4.46
SIEGEL              D|01:160:171:01|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
MARVASTI            S|01:160:171:02|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
NARAYANAN           C|01:160:171:03|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
NARAYANAN           C|01:160:171:42|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
DOSHI               V|01:160:171:43|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
DOSHI               V|01:160:171:44|4.36|4.23|3.93|4.28|4.07|3.87|3.72|3.29|4.11|3.65
KNAPP               S|01:160:209:01|4.60|4.14|4.12|4.27|4.18|3.71|3.55|2.31|4.12|3.69
RAMANATHAN          A|01:160:211:02|3.12|3.50|2.94|3.89|3.65|3.19|3.31|3.19|3.19|3.47
VASSILIAN           A|01:160:251:00|4.57|4.48|4.19|4.42|4.37|4.21|4.26|4.10|4.35|4.11
OCONNOR             PATRICK|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27|4.00|4.43|4.71|5.00|5.00|5.00|5.00
ZBAIDA|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27|4.00|4.43|4.71|5.00|5.00|5.00|5.00
ZBAIDA              SHMUEL|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80
ZBAIDA              SHMUEL|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80
ROTH                HEINZ|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27
ROTH                HEINZ|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11
ROTH                HEINZ|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80
BOIKESS             ROBERT|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80
BOIKESS             ROBERT|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27|4.00|4.43
BOIKESS              ROBERT|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11
OCONNOR             PATRICK|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27|4.00|4.43|4.71|5.00|5.00
OCONNOR             PATRICK|01:160:307:00|3.92|3.70|3.50|3.75|3.48|3.36|3.43|3.13|3.51|3.11|3.80|4.27|4.00|4.43|4.71|5.00|5.00|5.00|5.00
TAYLOR              JOHN|01:160:310:00|4.33|4.16|4.04|4.10|3.82|4.08|4.14|4.14|4.06|3.96
GOVINDARAJOO        G|01:160:311:01|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO        GEETA|01:160:311:02|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
CAI                 YAN|01:160:311:02|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO|01:160:311:03|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO        GEETA|01:160:311:05|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89|4.50
GOVINDARAJOO        GEETA|01:160:311:06|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO|01:160:311:07|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOOVINDARAJOO|01:160:311:09|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO|01:160:311:10|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89
GOVINDARAJOO|01:160:311:12|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95
GOVINDARAJOO        GEETA|01:160:311:13|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91
JUNG                JONGJIN|01:160:311:13|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91
GOVINDARAJOO        GEETA|01:160:311:15|4.66|4.48|4.14|4.47|4.18|4.12|4.07|3.16|4.38|3.91|3.32|3.95|3.89|5.00|5.00|4.50|5.00|5.00
TAYLOR              J|01:160:315:00|4.19|4.17|3.82|4.41|4.25|3.97|4.05|3.86|4.00|4.09|3.50
HAUBENSTOCK         HOWARD|01:160:315:71|4.19|4.17|3.82|4.41|4.25|3.97|4.05|3.86|4.00|4.09|3.50|3.00
HAUBENSTOCK         HOWARD|01:160:315:72|4.19|4.17|3.82|4.41|4.25|3.97|4.05|3.86|4.00|4.09
COTTER              M|01:160:327:00|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
HINCH               BJANE|01:160:327:01|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
HINCH               BJANE|01:160:327:01|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
COTTER              MARTA|01:160:327:01|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
COTTER              M|01:160:327:02|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
COTTER              MARTA|01:160:327:02|4.40|4.28|3.83|4.27|4.22|3.86|3.94|3.73|4.01|3.96
HALL                G|01:160:348:00|4.06|3.91|3.35|4.15|3.79|3.18|3.24|3.12|3.65|3.03
JIANXI              X|01:160:348:03|4.06|3.91|3.35|4.15|3.79|3.18|3.24|3.12|3.65|3.03
HERZOG              G|01:160:361:01|4.67|4.20|4.10|4.32|4.02|4.00|3.88|3.49|4.24|3.83
BRENNAN             J|01:160:371:01|4.72|4.44|4.67|4.72|4.33|4.22|4.61|4.00|4.59|4.29
